,Provinsi,tahun,penduduk_ribu_jiwa,PDRB,persentase_sanitasi_layak,persentase_pengangguran,persentase_lulus_sma,jalan_negara,jalan_provinsi,jalan_kabupaten_kota,panjang_total,harapan_lama_sekolah,persentase_air_bersih,persentase_rumah_layak,angka_harapan_hidup,pengeluaran_perkapita,persentase penduduk_miskin
429,sulawesi barat,2028-01-01,1519708,,,,,,,,,,,,,,
430,sulawesi barat,2029-01-01,1536288,,,,,,,,,,,,,,
431,sulawesi barat,2030-01-01,1552626,,,,,,,,,,,,,,
432,sulawesi selatan,2015-01-01,8520806,340390.21,71.82,5.88,50.85,1257.0,925.0,16580.0,18762.0,12.99,72.07,92.92,69.8,9992.0,9.754999999999999
433,sulawesi selatan,2016-01-01,8598571,377108.91,76.05,4.955,59.56,1746.0,1500.0,28098.0,31344.0,13.16,73.42,94.06,69.82,10281.0,9.32
434,sulawesi selatan,2017-01-01,8674337,415588.2,76.52,5.1899999999999995,63.82,1746.0,2015.0,26918.0,30679.0,13.28,76.34,95.5,69.84,10489.0,9.43
435,sulawesi selatan,2018-01-01,8748017,461774.74,79.61,4.99,56.86,1746.0,2015.0,26715.0,30476.0,13.34,77.93,96.6,70.08,10814.0,8.965
436,sulawesi selatan,2019-01-01,8819512,504320.73,87.8,4.859999999999999,60.97,1746.0,2015.0,26709.0,30470.0,13.36,89.38,60.93,70.43,11118.0,8.625
437,sulawesi selatan,2020-01-01,8888723,504052.53,88.96,6.005,66.22,1746.0,2015.0,26837.0,30598.0,13.45,90.84,64.24,70.57,11079.0,8.855
438,sulawesi selatan,2021-01-01,8956140,545172.68,91.57,5.755,69.43,1746.0,2015.0,26642.0,30403.0,13.52,91.18,69.11,70.66,11184.0,8.655
439,sulawesi selatan,2022-01-01,9022232,605144.68,92.24,5.13,68.32,1739.0,2015.0,26890.0,30644.0,13.53,91.96,69.9,70.97,11430.0,8.645
440,sulawesi selatan,2023-01-01,9086950,,,,,,,,,,,,,,
441,sulawesi selatan,2024-01-01,9150226,,,,,,,,,,,,,,
442,sulawesi selatan,2025-01-01,9212007,,,,,,,,,,,,,,
443,sulawesi selatan,2026-01-01,9272107,,,,,,,,,,,,,,
444,sulawesi selatan,2027-01-01,9330326,,,,,,,,,,,,,,
445,sulawesi selatan,2028-01-01,9386679,,,,,,,,,,,,,,
446,sulawesi selatan,2029-01-01,9441105,,,,,,,,,,,,,,
447,sulawesi selatan,2030-01-01,9493621,,,,,,,,,,,,,,
448,sulawesi tengah,2015-01-01,2878005,107573.47,54.89,3.545,45.84,2056.0,1817.0,19592.0,23465.0,12.72,61.49,85.7,67.26,8768.0,14.365
449,sulawesi tengah,2016-01-01,2919792,120030.01,59.76,3.375,61.79,2373.0,1619.0,12294.0,16286.0,12.92,62.15,86.72,67.31,9034.0,14.27
450,sulawesi tengah,2017-01-01,2961118,133951.16,61.03,3.39,62.73,2373.0,1644.0,12548.0,16565.0,13.04,67.1,89.75,67.32,9311.0,14.18
451,sulawesi tengah,2018-01-01,3001906,167135.77,64.15,3.245,53.84,2373.0,1644.0,12891.0,16908.0,13.13,71.13,91.1,67.78,9488.0,13.85
452,sulawesi tengah,2019-01-01,3042120,185740.09,71.95,3.285,52.0,2373.0,1644.0,12891.0,16908.0,13.14,83.42,56.65,68.23,9604.0,13.33
453,sulawesi tengah,2020-01-01,3081715,197440.78,74.61,3.35,57.68,2373.0,1644.0,12891.0,16908.0,13.17,84.6,58.85,68.69,9335.0,12.99
454,sulawesi tengah,2021-01-01,3120857,247328.39,76.06,3.74,61.16,2373.0,1644.0,12891.0,16908.0,13.23,88.51,62.7,68.83,9378.0,12.59
455,sulawesi tengah,2022-01-01,3159743,323617.16,75.01,3.335,53.73,2362.0,1644.0,12946.0,16952.0,13.32,86.74,58.61,68.93,9696.0,12.315000000000001
456,sulawesi tengah,2023-01-01,3198314,,,,,,,,,,,,,,
457,sulawesi tengah,2024-01-01,3236554,,,,,,,,,,,,,,
458,sulawesi tengah,2025-01-01,3274416,,,,,,,,,,,,,,
459,sulawesi tengah,2026-01-01,3311901,,,,,,,,,,,,,,
460,sulawesi tengah,2027-01-01,3349053,,,,,,,,,,,,,,
461,sulawesi tengah,2028-01-01,3385817,,,,,,,,,,,,,,
462,sulawesi tengah,2029-01-01,3422218,,,,,,,,,,,,,,
463,sulawesi tengah,2030-01-01,3458228,,,,,,,,,,,,,,
464,sulawesi tenggara,2015-01-01,2502678,87714.48,63.29,4.585,61.52,1930.0,1326.5,11582.0,14838.5,13.07,77.19,91.37,70.44,8697.0,13.32
465,sulawesi tenggara,2016-01-01,2543106,96994.76,67.44,3.25,67.12,1498.0,1009.0,10218.0,12725.0,13.24,75.82,91.86,70.46,8871.0,12.825
466,sulawesi tenggara,2017-01-01,2583436,107423.45,69.22,3.2199999999999998,67.75,1498.0,1009.0,10557.0,13064.0,13.36,79.83,94.53,70.47,9094.0,12.39
467,sulawesi tenggara,2018-01-01,2623625,118066.61,69.9,2.98,67.67,1498.0,1009.0,9784.0,12291.0,13.53,80.95,96.2,70.72,9262.0,11.475000000000001
468,sulawesi tenggara,2019-01-01,2663654,129225.15,79.75,3.2,64.26,1498.0,1009.0,9784.0,12291.0,13.55,89.66,59.82,70.97,9436.0,11.14
469,sulawesi tenggara,2020-01-01,2703461,130107.27,82.38,3.84,68.28,1498.0,1009.0,10480.0,12987.0,13.65,92.49,66.77,71.22,9331.0,11.344999999999999
470,sulawesi tenggara,2021-01-01,2743149,139463.63,85.62,4.07,70.65,1498.0,1009.0,10360.0,12867.0,13.68,91.94,70.45,71.27,9381.0,11.7
471,sulawesi tenggara,2022-01-01,2782876,158761.13,87.07,3.61,65.97,1491.0,1009.0,10360.0,12860.0,13.69,94.64,72.8,71.37,9708.0,11.219999999999999
472,sulawesi tenggara,2023-01-01,2822606,,,,,,,,,,,,,,
473,sulawesi tenggara,2024-01-01,2862278,,,,,,,,,,,,,,
474,sulawesi tenggara,2025-01-01,2901828,,,,,,,,,,,,,,
475,sulawesi tenggara,2026-01-01,2941166,,,,,,,,,,,,,,
476,sulawesi tenggara,2027-01-01,2980230,,,,,,,,,,,,,,
477,sulawesi tenggara,2028-01-01,3018968,,,,,,,,,,,,,,
478,sulawesi tenggara,2029-01-01,3057322,,,,,,,,,,,,,,
479,sulawesi tenggara,2030-01-01,3095250,,,,,,,,,,,,,,
480,sulawesi utara,2015-01-01,2409740,91145.68,64.62,8.86,55.5,1577.5,995.0,8728.5,11301.0,12.43,71.53,92.74,70.99,9729.0,8.815000000000001
481,sulawesi utara,2016-01-01,2432182,100513.84,74.75,7.0,72.33,1664.0,981.0,7097.0,9742.0,12.55,70.22,94.87,71.02,10148.0,8.27
482,sulawesi utara,2017-01-01,2453737,110116.73,71.14,6.65,67.46,1664.0,927.0,7249.0,9840.0,12.66,73.29,95.58,71.04,10422.0,8.0
483,sulawesi utara,2018-01-01,2474383,119512.68,75.23,6.235,70.02,1664.0,927.0,7481.0,10072.0,12.68,76.2,95.59,71.26,10731.0,7.695
484,sulawesi utara,2019-01-01,2494124,130126.51,82.36,5.59,67.58,1664.0,927.0,7415.0,10006.0,12.73,90.81,64.61,71.58,11115.0,7.585
485,sulawesi utara,2020-01-01,2512931,132230.06,85.49,6.355,73.79,1664.0,927.0,7467.0,10058.0,12.85,90.31,69.48,71.69,10791.0,7.7
486,sulawesi utara,2021-01-01,2530956,142615.02,84.85,7.17,68.56,1664.0,927.0,7500.0,10091.0,12.94,91.65,69.5,71.76,10882.0,7.5649999999999995
487,sulawesi utara,2022-01-01,2548326,157028.36,84.05,6.5600000000000005,66.66,1682.0,927.0,7510.0,10119.0,12.95,94.15,69.57,72.08,11179.0,7.3100000000000005
488,sulawesi utara,2023-01-01,2565005,,,,,,,,,,,,,,
489,sulawesi utara,2024-01-01,2580999,,,,,,,,,,,,,,
490,sulawesi utara,2025-01-01,2596289,,,,,,,,,,,,,,
491,sulawesi utara,2026-01-01,2610926,,,,,,,,,,,,,,
492,sulawesi utara,2027-01-01,2624953,,,,,,,,,,,,,,
493,sulawesi utara,2028-01-01,2638344,,,,,,,,,,,,,,
494,sulawesi utara,2029-01-01,2651110,,,,,,,,,,,,,,
495,sulawesi utara,2030-01-01,2663248,,,,,,,,,,,,,,
496,sumatera barat,2015-01-01,5200936,179951.98,44.53,6.4399999999999995,58.04,1565.5,1226.0,13985.0,16776.5,13.6,66.58,92.11,68.66,9804.0,7.01
497,sumatera barat,2016-01-01,5272513,196099.18,52.93,5.449999999999999,64.97,1449.0,1525.0,20460.0,23434.0,13.79,67.33,93.27,68.73,10126.0,7.115
498,sumatera barat,2017-01-01,5342822,213893.47,52.56,5.6899999999999995,60.8,1449.0,1525.0,19582.0,22556.0,13.94,68.83,94.41,68.78,10306.0,6.8100000000000005
499,sumatera barat,2018-01-01,5411828,230367.22,56.85,5.67,65.34,1449.0,1525.0,19414.0,22388.0,13.95,69.53,95.38,69.01,10638.0,6.6
500,sumatera barat,2019-01-01,5479473,245949.74,63.98,5.38,60.32,1449.0,1525.0,19377.0,22351.0,14.01,81.44,51.42,69.31,10925.0,6.355
501,sumatera barat,2020-01-01,5545687,241894.13,68.11,6.0649999999999995,67.11,1449.0,1525.0,19349.0,22323.0,14.02,83.37,56.87,69.47,10733.0,6.42
502,sumatera barat,2021-01-01,5610839,253101.28,68.68,6.595,70.06,1449.0,1525.0,19675.0,22649.0,14.09,83.4,56.67,69.59,10790.0,6.335
503,sumatera barat,2022-01-01,5675335,285378.64,69.27,6.225,65.96,1423.0,1525.0,19705.0,22653.0,14.1,85.23,58.18,69.9,11130.0,5.98
504,sumatera barat,2023-01-01,5739124,,,,,,,,,,,,,,
505,sumatera barat,2024-01-01,5802148,,,,,,,,,,,,,,
506,sumatera barat,2025-01-01,5864368,,,,,,,,,,,,,,
507,sumatera barat,2026-01-01,5925719,,,,,,,,,,,,,,
508,sumatera barat,2027-01-01,5986189,,,,,,,,,,,,,,
509,sumatera barat,2028-01-01,6045738,,,,,,,,,,,,,,
510,sumatera barat,2029-01-01,6104348,,,,,,,,,,,,,,
511,sumatera barat,2030-01-01,6161999,,,,,,,,,,,,,,
512,sumatera selatan,2015-01-01,8062726,331765.7,61.03,5.550000000000001,48.9,1511.5,1494.0,17731.5,20737.0,12.02,65.16,91.97,69.14,9474.0,14.01
513,sumatera selatan,2016-01-01,8174111,353866.96,64.51,4.125,55.37,1600.0,1463.0,15758.0,18821.0,12.23,63.77,92.27,69.16,9935.0,13.465
514,sumatera selatan,2017-01-01,8283732,382885.7,66.1,4.095,54.15,1600.0,1514.0,16119.0,19233.0,12.35,64.02,93.92,69.18,10220.0,13.145
515,sumatera selatan,2018-01-01,8391468,419392.16,68.6,4.175,63.94,1600.0,1514.0,15875.0,18989.0,12.36,65.31,94.54,69.41,10652.0,12.81
516,sumatera selatan,2019-01-01,8497173,453402.71,74.67,4.275,58.23,1600.0,1514.0,16061.0,19175.0,12.39,80.37,52.24,69.65,10937.0,12.635000000000002
517,sumatera selatan,2020-01-01,8600740,454607.4,76.94,4.705,65.42,1600.0,1514.0,16492.0,19606.0,12.45,80.78,55.25,69.88,10652.0,12.82
518,sumatera selatan,2021-01-01,8702603,493651.91,77.29,5.075,67.2,1600.0,1514.0,16492.0,19606.0,12.54,84.7,57.86,69.98,10662.0,12.815
519,sumatera selatan,2022-01-01,8803187,591603.48,78.62,4.6850000000000005,67.07,1581.0,1514.0,16492.0,19587.0,12.55,86.35,59.96,70.32,11109.0,11.925
520,sumatera selatan,2023-01-01,8902379,,,,,,,,,,,,,,
521,sumatera selatan,2024-01-01,9000071,,,,,,,,,,,,,,
522,sumatera selatan,2025-01-01,9096188,,,,,,,,,,,,,,
523,sumatera selatan,2026-01-01,9190588,,,,,,,,,,,,,,
524,sumatera selatan,2027-01-01,9283112,,,,,,,,,,,,,,
525,sumatera selatan,2028-01-01,9373748,,,,,,,,,,,,,,
526,sumatera selatan,2029-01-01,9462433,,,,,,,,,,,,,,
527,sumatera selatan,2030-01-01,9549166,,,,,,,,,,,,,,
528,sumatera utara,2015-01-01,13961417,571722.01,67.18,6.55,59.54,2106.5,2281.5,25792.0,30180.0,12.82,71.41,92.09,68.29,9563.0,10.66
529,sumatera utara,2016-01-01,14136739,626062.91,72.43,6.165,69.69,2632.0,3049.0,35092.0,40773.0,13.0,70.61,92.99,68.33,9744.0,10.309999999999999
530,sumatera utara,2017-01-01,14308327,684634.43,72.56,6.005,67.16,2632.0,3048.0,33863.0,39543.0,13.1,70.07,93.67,68.37,10036.0,9.75
531,sumatera utara,2018-01-01,14475930,741347.43,74.6,5.58,68.34,2632.0,3049.0,33434.0,39115.0,13.14,71.95,94.03,68.61,10391.0,9.08
532,sumatera utara,2019-01-01,14639351,799608.95,79.59,5.48,65.21,2632.0,3006.0,34750.0,40388.0,13.15,90.22,64.65,68.95,10649.0,8.73
533,sumatera utara,2020-01-01,14798371,811188.31,81.08,5.8100000000000005,70.39,2632.0,3006.0,35318.0,40956.0,13.23,89.68,67.44,69.1,10420.0,8.945
534,sumatera utara,2021-01-01,14953993,859934.26,82.02,6.17,72.81,2632.0,3006.0,35101.0,40739.0,13.27,90.89,69.48,69.23,10499.0,8.75
535,sumatera utara,2022-01-01,15107190,955193.09,82.3,5.8149999999999995,77.16,2620.0,3006.0,35284.0,40910.0,13.31,92.13,67.26,69.61,10848.0,8.375
536,sumatera utara,2023-01-01,15257802,,,,,,,,,,,,,,
537,sumatera utara,2024-01-01,15405603,,,,,,,,,,,,,,
538,sumatera utara,2025-01-01,15550418,,,,,,,,,,,,,,
539,sumatera utara,2026-01-01,15692185,,,,,,,,,,,,,,
540,sumatera utara,2027-01-01,15830917,,,,,,,,,,,,,,
541,sumatera utara,2028-01-01,15966475,,,,,,,,,,,,,,
542,sumatera utara,2029-01-01,16098747,,,,,,,,,,,,,,
543,sumatera utara,2030-01-01,16227555,,,,,,,,,,,,,,
